Found a corrupted messageFound a corrupted messageNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNot SyncNew Message:t=41.219s,solderingTargetTemperature:41130,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:10,linearMotorPosition:0,LO_State:0,SOE_State:0,stateMachineStatus:0,
New Message:t=48.138s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=48.634s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=49.137s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=49.635s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=50.135s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=50.633s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=51.143s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=51.640s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=52.138s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=52.644s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=53.135s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=53.643s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=54.134s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=54.634s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=55.139s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=55.635s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=56.135s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=56.646s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=57.133s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=57.634s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=58.135s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=58.642s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=59.140s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
New Message:t=59.633s,solderingTargetTemperature:0,solderingCurrentTemperature:0,sampleDiscPosition:0,feedingMechanismPosition:0,linearMotorPosition:88,LO_State:1,SOE_State:1,stateMachineStatus:0,
